timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1647420406171,118,HomeRequest,200,OK,Thread Group 1-1,text,true,,312933,10706,1,1,http://localhost/blog,28,0,1
1647420406171,28,HomeRequest-0,200,OK,Thread Group 1-1,text,true,,19816,496,1,1,http://localhost/blog,28,0,1
1647420406201,11,HomeRequest-1,200,OK,Thread Group 1-1,text,true,,5350,520,1,1,http://localhost/blog/Content/Auto/Global.css,11,0,0
1647420406206,44,HomeRequest-2,200,OK,Thread Group 1-1,text,true,,8896,536,1,1,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",44,0,32
1647420406208,11,HomeRequest-3,200,OK,Thread Group 1-1,text,true,,25637,534,1,1,http://localhost/blog/Custom/Themes/Standard/css/styles.css,11,0,0
1647420406209,11,HomeRequest-4,200,OK,Thread Group 1-1,bin,true,,3929,531,1,1,http://localhost/blog/Content/images/blog/blogengine.ico,11,0,0
1647420406209,13,HomeRequest-5,200,OK,Thread Group 1-1,text,true,,6324,540,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shCore.css,13,0,1
1647420406210,31,HomeRequest-6,200,OK,Thread Group 1-1,text,true,,2888,548,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shThemeDefault.css,31,0,1
1647420406212,30,HomeRequest-7,200,OK,Thread Group 1-1,text,true,,1421,510,1,1,http://localhost/blog/en-us.res.axd,30,0,1
1647420406219,28,HomeRequest-8,200,OK,Thread Group 1-1,text,true,,92939,532,1,1,http://localhost/blog/Scripts/Auto/01-jquery-1.9.1.min.js,28,0,0
1647420406220,31,HomeRequest-9,200,OK,Thread Group 1-1,text,true,,2534,529,1,1,http://localhost/blog/Scripts/Auto/02-jquery.cookie.js,31,0,0
1647420406222,31,HomeRequest-10,200,OK,Thread Group 1-1,text,true,,10011,533,1,1,http://localhost/blog/Scripts/Auto/04-jquery-jtemplates.js,31,0,0
1647420406241,13,HomeRequest-11,200,OK,Thread Group 1-1,text,true,,3070,525,1,1,http://localhost/blog/Scripts/Auto/05-json2.min.js,13,0,0
1647420406243,23,HomeRequest-12,200,OK,Thread Group 1-1,text,true,,24755,517,1,1,http://localhost/blog/Scripts/Auto/blog.js,23,0,0
1647420406247,20,HomeRequest-13,200,OK,Thread Group 1-1,text,true,,30407,541,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/XRegExp.js,20,0,0
1647420406250,20,HomeRequest-14,200,OK,Thread Group 1-1,text,true,,44439,540,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shCore.js,20,0,0
1647420406251,23,HomeRequest-15,200,OK,Thread Group 1-1,text,true,,2731,546,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shAutoloader.js,23,0,0
1647420406253,22,HomeRequest-16,200,OK,Thread Group 1-1,text,true,,2142,537,1,1,http://localhost/blog/scripts/syntaxhighlighter/shActivator.js,22,0,0
1647420406254,22,HomeRequest-17,200,OK,Thread Group 1-1,text,true,,23342,607,1,1,http://localhost/blog/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZKFmBG-AUY7YwSX-Eh_-So8UKa0fIVRDpGlQdJn4r3q4SNLVEw2&t=637729908413207958,22,0,0
1647420406266,11,HomeRequest-18,200,OK,Thread Group 1-1,bin,true,,840,530,1,1,http://localhost/blog/Content/images/blog/rssButton.png,11,0,0
1647420406268,21,HomeRequest-19,200,OK,Thread Group 1-1,bin,true,,1462,554,1,1,http://www.gravatar.com/avatar/6d639091c771c54398e476fbbabb2ce4.jpg?d=identicon,21,0,16
1647420406289,58,Contact Request,200,OK,Thread Group 1-1,text,true,,151320,14456,1,1,http://localhost/blog/contact,15,0,0
1647420406289,16,Contact Request-0,200,OK,Thread Group 1-1,text,true,,20606,504,1,1,http://localhost/blog/contact,15,0,0
1647420406306,3,Contact Request-1,304,Not Modified,Thread Group 1-1,,true,,206,606,1,1,http://localhost/blog/Content/Auto/Global.css,0,0,0
1647420406307,12,Contact Request-2,200,OK,Thread Group 1-1,text,true,,8896,586,1,1,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",12,0,0
1647420406307,3,Contact Request-3,304,Not Modified,Thread Group 1-1,,true,,206,620,1,1,http://localhost/blog/Custom/Themes/Standard/css/styles.css,0,0,0
1647420406307,4,Contact Request-4,304,Not Modified,Thread Group 1-1,,true,,205,616,1,1,http://localhost/blog/Content/images/blog/blogengine.ico,0,0,0
1647420406307,9,Contact Request-5,304,Not Modified,Thread Group 1-1,,true,,206,626,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shCore.css,0,0,0
1647420406307,8,Contact Request-6,304,Not Modified,Thread Group 1-1,,true,,206,634,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shThemeDefault.css,0,0,0
1647420406310,6,Contact Request-7,304,Not Modified,Thread Group 1-1,,true,,257,539,1,1,http://localhost/blog/en-us.res.axd,0,0,0
1647420406310,13,Contact Request-8,304,Not Modified,Thread Group 1-1,,true,,206,618,1,1,http://localhost/blog/Scripts/Auto/01-jquery-1.9.1.min.js,0,0,0
1647420406311,17,Contact Request-9,304,Not Modified,Thread Group 1-1,,true,,206,615,1,1,http://localhost/blog/Scripts/Auto/02-jquery.cookie.js,0,0,0
1647420406316,13,Contact Request-10,304,Not Modified,Thread Group 1-1,,true,,206,619,1,1,http://localhost/blog/Scripts/Auto/04-jquery-jtemplates.js,0,0,0
1647420406316,18,Contact Request-11,304,Not Modified,Thread Group 1-1,,true,,206,611,1,1,http://localhost/blog/Scripts/Auto/05-json2.min.js,0,0,0
1647420406317,18,Contact Request-12,304,Not Modified,Thread Group 1-1,,true,,206,603,1,1,http://localhost/blog/Scripts/Auto/blog.js,0,0,0
1647420406319,17,Contact Request-13,304,Not Modified,Thread Group 1-1,,true,,206,627,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/XRegExp.js,0,0,0
1647420406323,16,Contact Request-14,304,Not Modified,Thread Group 1-1,,true,,206,626,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shCore.js,0,0,0
1647420406328,12,Contact Request-15,304,Not Modified,Thread Group 1-1,,true,,206,632,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shAutoloader.js,0,0,0
1647420406329,11,Contact Request-16,304,Not Modified,Thread Group 1-1,,true,,206,623,1,1,http://localhost/blog/scripts/syntaxhighlighter/shActivator.js,0,0,0
